model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBart_Small_20m,0.0,bace_classification,classification,0.788587,,1.692694,-10,0,0.7233165502548218,2,6
ChemBart_Small_20m,0.0,bace_classification,classification,0.794746,,5.970949,-11,1,0.7406231760978699,6,5
ChemBart_Small_20m,0.0,bace_classification,classification,0.826993,,1.376925,-13,2,0.7014036178588867,0,0
ChemBart_Small_20m,0.0,bace_classification,classification,0.800362,,2.23827,-11,3,0.733798086643219,5,4
ChemBart_Small_20m,0.0,bace_classification,classification,0.82192,,3.852446,-13,4,0.7276448607444763,3,1
ChemBart_Small_20m,0.0,bace_classification,classification,0.819928,,5.725651,-13,5,0.721987783908844,1,2
ChemBart_Small_20m,0.0,bace_classification,classification,0.818297,,7.892324,-13,6,0.7313649654388428,4,3
ChemBart_Small_20m,0.0,bace_regression,regression,1.119531,0.956096,2.271149,-19,0,0.4787096381187439,4,4
ChemBart_Small_20m,0.0,bace_regression,regression,1.123385,0.922233,1.066148,-19,1,0.5055902600288391,5,5
ChemBart_Small_20m,0.0,bace_regression,regression,1.130125,0.8749,1.379177,-18,2,0.5633244514465332,6,6
ChemBart_Small_20m,0.0,bace_regression,regression,0.923884,0.733013,4.623039,-21,3,0.4363274574279785,1,3
ChemBart_Small_20m,0.0,bace_regression,regression,0.881619,0.72223,6.58654,-23,4,0.4202231168746948,0,1
ChemBart_Small_20m,0.0,bace_regression,regression,0.860431,0.66753,8.267108,-23,5,0.4405296742916107,2,0
ChemBart_Small_20m,0.0,bace_regression,regression,0.918419,0.714412,1.725496,-21,6,0.4444824159145355,3,2
ChemBart_Small_20m,0.0,delaney,regression,0.641737,0.514831,1.624007,-24,0,0.4583048522472381,5,5
ChemBart_Small_20m,0.0,delaney,regression,0.672034,0.519752,2.281167,-32,1,0.514560341835022,6,6
ChemBart_Small_20m,0.0,delaney,regression,0.494935,0.387064,2.009887,-36,2,0.450224757194519,4,3
ChemBart_Small_20m,0.0,delaney,regression,0.461868,0.374746,8.436069,-37,3,0.4130852520465851,1,0
ChemBart_Small_20m,0.0,delaney,regression,0.505309,0.394464,3.026089,-37,4,0.4368480443954468,3,4
ChemBart_Small_20m,0.0,delaney,regression,0.490547,0.388461,1.14538,-37,5,0.4157414734363556,2,2
ChemBart_Small_20m,0.0,delaney,regression,0.483629,0.38429,9.021664,-38,6,0.409655749797821,0,1
ChemBart_Small_20m,0.0,hiv,classification,0.654719,,1.690937,-9,0,0.0929343700408935,6,6
ChemBart_Small_20m,0.0,hiv,classification,0.755606,,1.649888,-23,1,0.0895753428339958,4,3
ChemBart_Small_20m,0.0,hiv,classification,0.743826,,1.628508,-21,2,0.0896790400147438,5,4
ChemBart_Small_20m,0.0,hiv,classification,0.727602,,6.325354,-19,3,0.0866733789443969,3,5
ChemBart_Small_20m,0.0,hiv,classification,0.759905,,2.920902,-24,4,0.0837979018688201,2,2
ChemBart_Small_20m,0.0,hiv,classification,0.762747,,9.144691,-25,5,0.0836317539215087,1,0
ChemBart_Small_20m,0.0,hiv,classification,0.762452,,1.032417,-24,6,0.082882136106491,0,1
ChemBart_Small_20m,0.0,lipo,regression,0.832997,0.672879,3.667941,-20,0,0.7127915024757385,6,6
ChemBart_Small_20m,0.0,lipo,regression,0.816562,0.635071,5.663902,-29,1,0.6296002864837646,5,5
ChemBart_Small_20m,0.0,lipo,regression,0.791013,0.620502,4.214654,-32,2,0.5956964492797852,2,4
ChemBart_Small_20m,0.0,lipo,regression,0.77294,0.600228,4.974065,-33,3,0.6013286709785461,4,2
ChemBart_Small_20m,0.0,lipo,regression,0.781014,0.607045,1.968499,-34,4,0.5969347953796387,3,3
ChemBart_Small_20m,0.0,lipo,regression,0.735814,0.567066,2.545165,-41,5,0.5567317605018616,1,0
