model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.603442,,0.030901,,0,0.8218423128128052,5,6
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.753261,,3.545246,-8,1,0.7462378740310669,1,4
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.732065,,5.513343,-7,2,0.8375341892242432,6,5
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.777536,,1.007569,-9,3,0.7426629662513733,0,2
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.767754,,4.478964,-9,4,0.7706584930419922,2,3
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.780072,,6.75434,-10,5,0.7883864641189575,4,0
ChemLlama_Medium_30m,0.0,bace_classification,classification,0.779529,,7.362158,-10,6,0.7881670594215393,3,1
ChemLlama_Medium_30m,0.0,bace_regression,regression,1.299385,1.017004,1.046503,-13,0,0.6164603233337402,6,6
ChemLlama_Medium_30m,0.0,bace_regression,regression,1.105774,0.911327,4.766864,-21,1,0.5699979066848755,5,5
ChemLlama_Medium_30m,0.0,bace_regression,regression,1.011676,0.788084,2.583026,-21,2,0.4980699121952057,3,4
ChemLlama_Medium_30m,0.0,bace_regression,regression,0.925211,0.72933,4.829069,-23,3,0.4970680773258209,2,2
ChemLlama_Medium_30m,0.0,bace_regression,regression,0.832574,0.639001,9.812591,-25,4,0.4753751456737518,0,0
ChemLlama_Medium_30m,0.0,bace_regression,regression,0.922086,0.710264,1.497336,-22,5,0.4924438595771789,1,1
ChemLlama_Medium_30m,0.0,bace_regression,regression,0.956825,0.736591,9.951361,-22,6,0.511128306388855,4,3
ChemLlama_Medium_30m,0.0,delaney,regression,0.803669,0.641831,3.073299,-32,0,0.5827401876449585,6,6
ChemLlama_Medium_30m,0.0,delaney,regression,0.470445,0.364531,1.598284,-35,1,0.4628666341304779,5,3
ChemLlama_Medium_30m,0.0,delaney,regression,0.519153,0.419947,9.942736,-35,2,0.4131069779396057,3,5
ChemLlama_Medium_30m,0.0,delaney,regression,0.464555,0.378872,8.916317,-37,3,0.3786489963531494,2,2
ChemLlama_Medium_30m,0.0,delaney,regression,0.491429,0.388529,9.664539,-38,4,0.4168138802051544,4,4
ChemLlama_Medium_30m,0.0,delaney,regression,0.452207,0.359215,1.111969,-36,5,0.3760248720645904,0,0
ChemLlama_Medium_30m,0.0,delaney,regression,0.461825,0.367249,1.063279,-36,6,0.3765634298324585,1,1
ChemLlama_Medium_30m,0.0,hiv,classification,0.662925,,2.208387,-10,0,0.0995128005743026,5,6
ChemLlama_Medium_30m,0.0,hiv,classification,0.767636,,1.204233,-25,1,0.0993431881070137,4,3
ChemLlama_Medium_30m,0.0,hiv,classification,0.720018,,8.900411,-18,2,0.1047737225890159,6,5
ChemLlama_Medium_30m,0.0,hiv,classification,0.730601,,2.168064,-19,3,0.0804294571280479,3,4
ChemLlama_Medium_30m,0.0,hiv,classification,0.781614,,2.949787,-28,4,0.0781426578760147,0,1
ChemLlama_Medium_30m,0.0,hiv,classification,0.775708,,3.888231,-27,5,0.0786358788609504,1,2
ChemLlama_Medium_30m,0.0,hiv,classification,0.782644,,1.8709,-28,6,0.0799259915947914,2,0
ChemLlama_Medium_30m,0.0,lipo,regression,0.798158,0.651114,2.76033,-29,0,0.6618742942810059,6,5
ChemLlama_Medium_30m,0.0,lipo,regression,0.799266,0.639297,2.57786,-24,1,0.65853351354599,5,6
ChemLlama_Medium_30m,0.0,lipo,regression,0.788868,0.624159,7.091486,-31,2,0.6153789162635803,4,4
ChemLlama_Medium_30m,0.0,lipo,regression,0.752935,0.597014,8.749893,-37,3,0.5960135459899902,3,3
ChemLlama_Medium_30m,0.0,lipo,regression,0.743814,0.586232,3.565041,-38,4,0.5681077241897583,2,2
ChemLlama_Medium_30m,0.0,lipo,regression,0.741354,0.574017,4.018609,-40,5,0.5624927282333374,1,0
