model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemLlama_Small_20m,0.0,bace_classification,classification,0.77663,,1.160721,-9,0,0.6868709921836853,1,6
ChemLlama_Small_20m,0.0,bace_classification,classification,0.788768,,1.642423,-10,1,0.6800330877304077,0,4
ChemLlama_Small_20m,0.0,bace_classification,classification,0.787138,,2.152089,-10,2,0.7242857813835144,2,5
ChemLlama_Small_20m,0.0,bace_classification,classification,0.79058,,1.212929,-10,3,0.7842711806297302,3,2
ChemLlama_Small_20m,0.0,bace_classification,classification,0.788949,,1.593598,-10,4,0.7969487905502319,4,3
ChemLlama_Small_20m,0.0,bace_classification,classification,0.797826,,3.499338,-11,5,0.7979843020439148,5,1
ChemLlama_Small_20m,0.0,bace_classification,classification,0.800906,,2.032227,-11,6,0.8051931858062744,6,0
ChemLlama_Small_20m,0.0,bace_regression,regression,0.903913,0.736867,2.994375,-23,0,0.4648400247097015,2,3
ChemLlama_Small_20m,0.0,bace_regression,regression,0.989802,0.800566,2.477542,-23,1,0.4979751408100128,4,6
ChemLlama_Small_20m,0.0,bace_regression,regression,0.948981,0.72936,8.390454,-25,2,0.4973436594009399,3,5
ChemLlama_Small_20m,0.0,bace_regression,regression,0.911357,0.733162,5.001763,-24,3,0.4502620995044708,0,4
ChemLlama_Small_20m,0.0,bace_regression,regression,0.803855,0.625218,1.028485,-25,4,0.4586212038993835,1,1
ChemLlama_Small_20m,0.0,bace_regression,regression,0.802666,0.632411,7.54423,-28,5,0.5147335529327393,5,0
ChemLlama_Small_20m,0.0,bace_regression,regression,0.834948,0.658908,3.453373,-27,6,0.5151783227920532,6,2
ChemLlama_Small_20m,0.0,delaney,regression,0.585513,0.474176,4.221122,-33,0,0.4741984903812408,4,5
ChemLlama_Small_20m,0.0,delaney,regression,0.577376,0.455152,7.147355,-36,1,0.4776513576507568,5,4
ChemLlama_Small_20m,0.0,delaney,regression,0.67965,0.512275,3.385235,-33,2,0.5158838033676147,6,6
ChemLlama_Small_20m,0.0,delaney,regression,0.526623,0.425074,2.771862,-35,3,0.3950923085212707,1,2
ChemLlama_Small_20m,0.0,delaney,regression,0.574952,0.448325,8.008895,-37,4,0.4062829613685608,3,3
ChemLlama_Small_20m,0.0,delaney,regression,0.493095,0.405673,1.949657,-38,5,0.3960731923580169,2,1
ChemLlama_Small_20m,0.0,delaney,regression,0.480932,0.396699,2.49412,-38,6,0.394107311964035,0,0
ChemLlama_Small_20m,0.0,hiv,classification,0.724844,,1.671929,-18,0,0.0910045877099037,5,6
ChemLlama_Small_20m,0.0,hiv,classification,0.76486,,3.825255,-25,1,0.0912826135754585,6,5
ChemLlama_Small_20m,0.0,hiv,classification,0.775967,,3.476914,-27,2,0.0789181813597679,0,4
ChemLlama_Small_20m,0.0,hiv,classification,0.791358,,3.697232,-30,3,0.0795799046754837,1,0
ChemLlama_Small_20m,0.0,hiv,classification,0.783356,,1.363679,-28,4,0.079838789999485,2,2
ChemLlama_Small_20m,0.0,hiv,classification,0.778632,,1.092339,-27,5,0.0810068696737289,4,3
ChemLlama_Small_20m,0.0,hiv,classification,0.784387,,8.616331,-29,6,0.0809171721339225,3,1
ChemLlama_Small_20m,0.0,lipo,regression,0.836192,0.679728,1.385703,-19,0,0.6868361830711365,6,6
ChemLlama_Small_20m,0.0,lipo,regression,0.798592,0.646792,7.463028,-26,1,0.6220149397850037,5,5
ChemLlama_Small_20m,0.0,lipo,regression,0.779358,0.609876,1.300425,-29,2,0.6040021777153015,4,4
ChemLlama_Small_20m,0.0,lipo,regression,0.758601,0.605808,6.690153,-35,3,0.5717125535011292,3,3
ChemLlama_Small_20m,0.0,lipo,regression,0.749995,0.589251,1.003268,-37,4,0.5580192804336548,2,1
ChemLlama_Small_20m,0.0,lipo,regression,0.754404,0.585833,8.858153,-38,5,0.5545560121536255,1,2
ChemLlama_Small_20m,0.0,lipo,regression,0.747441,0.580359,6.131291,-39,6,0.5479120016098022,0,0
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.755691,,5.813064,-9,0,0.1765456050634384,6,6
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.769343,,8.235409,-10,1,0.1716395169496536,5,5
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.788889,,4.164287,-11,2,0.1639874279499054,1,1
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.791114,,2.923085,-11,3,0.166696697473526,4,0
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.772681,,5.025107,-10,4,0.1600694954395294,0,4
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.782574,,1.119033,-10,5,0.16443632543087,2,2
ChemLlama_Small_20m,0.0,tox21_sr_p53,classification,0.776921,,2.65829,-10,6,0.1659561842679977,3,3
ChemLlama_Small_20m,1.0,bace_classification,classification,0.765036,,6.685,-9,0,0.7472818493843079,1,6
ChemLlama_Small_20m,1.0,bace_classification,classification,0.803623,,1.248475,-11,1,0.6850941777229309,0,0
ChemLlama_Small_20m,1.0,bace_classification,classification,0.791848,,9.792682,-11,2,0.7868140935897827,6,1
ChemLlama_Small_20m,1.0,bace_classification,classification,0.783877,,3.66858,-10,3,0.7495626211166382,2,3
ChemLlama_Small_20m,1.0,bace_classification,classification,0.781884,,5.05869,-10,4,0.7775498628616333,4,5
ChemLlama_Small_20m,1.0,bace_classification,classification,0.78279,,4.373195,-10,5,0.7726332545280457,3,4
ChemLlama_Small_20m,1.0,bace_classification,classification,0.78442,,3.358749,-10,6,0.7832119464874268,5,2
ChemLlama_Small_20m,1.0,bace_regression,regression,1.007634,0.848265,1.032503,-23,0,0.4237577617168426,0,5
ChemLlama_Small_20m,1.0,bace_regression,regression,1.117889,0.921406,5.477641,-20,1,0.5649396777153015,6,6
ChemLlama_Small_20m,1.0,bace_regression,regression,0.917591,0.740472,1.794968,-27,2,0.5453883409500122,5,1
ChemLlama_Small_20m,1.0,bace_regression,regression,0.933409,0.74437,8.353935,-27,3,0.5310247540473938,4,2
ChemLlama_Small_20m,1.0,bace_regression,regression,0.896854,0.701003,1.697167,-23,4,0.4498231410980224,1,0
ChemLlama_Small_20m,1.0,bace_regression,regression,0.949072,0.72291,1.093826,-22,5,0.4772446453571319,3,4
ChemLlama_Small_20m,1.0,bace_regression,regression,0.933497,0.711928,5.309044,-23,6,0.4731166958808899,2,3
ChemLlama_Small_20m,1.0,delaney,regression,0.58381,0.466766,8.603228,-26,0,0.4346167743206024,4,6
