model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBart_Medium_20m,0.0,bace_classification,classification,0.644746,,0.00234,,0,0.6612487435340881,2,6
ChemBart_Medium_20m,0.0,bace_classification,classification,0.797645,,3.611978,-11,1,0.651378333568573,0,2
ChemBart_Medium_20m,0.0,bace_classification,classification,0.820471,,5.141406,-13,2,0.659151017665863,1,0
ChemBart_Medium_20m,0.0,bace_classification,classification,0.770833,,2.824376,-9,3,0.6900850534439087,3,5
ChemBart_Medium_20m,0.0,bace_classification,classification,0.771377,,2.601555,-9,4,0.7105177640914917,4,4
ChemBart_Medium_20m,0.0,bace_classification,classification,0.808877,,4.766534,-12,5,0.7317711114883423,5,1
ChemBart_Medium_20m,0.0,bace_classification,classification,0.772826,,2.087096,-9,6,0.7370331883430481,6,3
ChemBart_Medium_20m,0.0,bace_regression,regression,1.054906,0.894962,5.918348,-28,0,0.5365229845046997,5,6
ChemBart_Medium_20m,0.0,bace_regression,regression,0.894402,0.744376,5.462188,-27,1,0.4711598753929138,2,2
ChemBart_Medium_20m,0.0,bace_regression,regression,0.9977,0.820914,1.836849,-21,2,0.5533367991447449,6,5
ChemBart_Medium_20m,0.0,bace_regression,regression,0.971166,0.805142,1.074552,-25,3,0.5117365121841431,4,3
ChemBart_Medium_20m,0.0,bace_regression,regression,0.980642,0.794743,4.055435,-24,4,0.4557131826877594,0,4
ChemBart_Medium_20m,0.0,bace_regression,regression,0.791701,0.64059,4.373127,-27,5,0.4798420369625091,3,0
ChemBart_Medium_20m,0.0,bace_regression,regression,0.831616,0.654357,1.162897,-25,6,0.4675997197628021,1,1
ChemBart_Medium_20m,0.0,delaney,regression,0.689835,0.553371,3.012772,-33,0,0.4884165525436401,6,6
ChemBart_Medium_20m,0.0,delaney,regression,0.62451,0.50284,3.664111,-28,1,0.4062585830688476,5,5
ChemBart_Medium_20m,0.0,delaney,regression,0.44582,0.366315,1.151538,-38,2,0.4007687270641327,4,0
ChemBart_Medium_20m,0.0,delaney,regression,0.600339,0.482338,9.748449,-36,3,0.3906063735485077,2,4
ChemBart_Medium_20m,0.0,delaney,regression,0.448298,0.364139,7.578466,-40,4,0.3917956054210663,3,1
ChemBart_Medium_20m,0.0,delaney,regression,0.476885,0.376907,1.016284,-38,5,0.3822334706783294,1,2
ChemBart_Medium_20m,0.0,delaney,regression,0.503125,0.389403,2.302323,-36,6,0.3785783350467682,0,3
ChemBart_Medium_20m,0.0,hiv,classification,0.723168,,3.000959,-18,0,0.0824290812015533,5,6
ChemBart_Medium_20m,0.0,hiv,classification,0.749212,,2.050514,-22,1,0.0851859301328659,6,2
ChemBart_Medium_20m,0.0,hiv,classification,0.754547,,2.515275,-23,2,0.0776826739311218,1,1
ChemBart_Medium_20m,0.0,hiv,classification,0.741287,,4.255588,-21,3,0.0796801969408989,3,3
ChemBart_Medium_20m,0.0,hiv,classification,0.727351,,6.914013,-19,4,0.0811839923262596,4,5
ChemBart_Medium_20m,0.0,hiv,classification,0.735777,,3.304032,-20,5,0.0773047283291816,0,4
ChemBart_Medium_20m,0.0,hiv,classification,0.75541,,1.783469,-23,6,0.0785151496529579,2,0
ChemBart_Medium_20m,0.0,lipo,regression,0.809636,0.638467,2.639724,-28,0,0.6821853518486023,6,4
ChemBart_Medium_20m,0.0,lipo,regression,0.818675,0.66685,1.286818,-19,1,0.6590921878814697,5,6
ChemBart_Medium_20m,0.0,lipo,regression,0.789149,0.631905,1.318921,-28,2,0.6239609718322754,4,2
ChemBart_Medium_20m,0.0,lipo,regression,0.817378,0.662793,2.452591,-21,3,0.5798676013946533,2,5
ChemBart_Medium_20m,0.0,lipo,regression,0.806034,0.651091,4.804566,-29,4,0.6033161878585815,3,3
ChemBart_Medium_20m,0.0,lipo,regression,0.773365,0.619284,2.275288,-28,5,0.5721654891967773,1,1
ChemBart_Medium_20m,0.0,lipo,regression,0.760642,0.591375,9.332604,-38,6,0.571582555770874,0,0
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.725801,,2.911871,-7,0,0.1903184652328491,5,6
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.73392,,1.056058,-7,1,0.1878499239683151,4,5
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.759991,,3.17716,-9,2,0.1906781792640686,6,4
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.776981,,2.634191,-10,3,0.1646076887845993,0,2
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.779717,,1.736718,-10,4,0.1736510545015335,3,1
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.795354,,1.477306,-11,5,0.1706680804491043,1,0
ChemBart_Medium_20m,0.0,tox21_sr_p53,classification,0.765825,,1.376632,-9,6,0.1735010296106338,2,3
ChemBart_Medium_20m,1.0,bace_classification,classification,0.732428,,5.274664,-7,0,0.7944600582122803,6,5
ChemBart_Medium_20m,1.0,bace_classification,classification,0.720471,,2.169459,-6,1,0.6596827507019043,0,6
ChemBart_Medium_20m,1.0,bace_classification,classification,0.814674,,1.593812,-12,2,0.6618807911872864,1,0
ChemBart_Medium_20m,1.0,bace_classification,classification,0.801812,,1.728991,-11,3,0.7245057225227356,2,4
ChemBart_Medium_20m,1.0,bace_classification,classification,0.808877,,4.766534,-12,4,0.7431813478469849,4,2
ChemBart_Medium_20m,1.0,bace_classification,classification,0.812319,,2.497835,-12,5,0.7419276237487793,3,1
ChemBart_Medium_20m,1.0,bace_classification,classification,0.805978,,8.136168,-12,6,0.7454971671104431,5,3
ChemBart_Medium_20m,1.0,bace_regression,regression,0.888649,0.749294,3.637315,-24,0,0.4079092741012573,1,1
ChemBart_Medium_20m,1.0,bace_regression,regression,0.969106,0.828488,2.369997,-26,1,0.4714216887950897,5,3
ChemBart_Medium_20m,1.0,bace_regression,regression,1.025919,0.859224,3.551933,-22,2,0.4119479358196258,2,4
ChemBart_Medium_20m,1.0,bace_regression,regression,1.148479,0.936331,1.121804,-15,3,0.4944044649600982,6,5
ChemBart_Medium_20m,1.0,bace_regression,regression,1.30598,1.045221,8.217595,-14,4,0.3939554095268249,0,6
ChemBart_Medium_20m,1.0,bace_regression,regression,0.860002,0.704595,2.17105,-27,5,0.4397276937961578,4,0
ChemBart_Medium_20m,1.0,bace_regression,regression,0.907695,0.735767,1.364205,-22,6,0.4344258606433868,3,2
ChemBart_Medium_20m,1.0,delaney,regression,0.642091,0.486235,3.123743,-26,0,0.4991982281208038,6,5
ChemBart_Medium_20m,1.0,delaney,regression,0.69021,0.5653,6.846059,-26,1,0.4854907095432281,5,6
ChemBart_Medium_20m,1.0,delaney,regression,0.504573,0.413381,5.511893,-35,2,0.472853809595108,4,2
ChemBart_Medium_20m,1.0,delaney,regression,0.521216,0.408631,6.178785,-34,3,0.4338429570198059,2,3
ChemBart_Medium_20m,1.0,delaney,regression,0.500563,0.39296,1.051965,-34,4,0.4341033697128296,3,1
ChemBart_Medium_20m,1.0,delaney,regression,0.536689,0.414046,9.493614,-34,5,0.4242573082447052,1,4
