model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Small_10m,0.0,bace_classification,classification,0.728804,,8.178282,-7,0,0.8295720815658569,6,6
ChemBerta_Small_10m,0.0,bace_classification,classification,0.743841,,1.248974,-7,1,0.7214792966842651,5,5
ChemBerta_Small_10m,0.0,bace_classification,classification,0.777355,,1.036549,-9,2,0.6533820629119873,1,4
ChemBerta_Small_10m,0.0,bace_classification,classification,0.817391,,9.420886,-13,3,0.6663164496421814,2,1
ChemBerta_Small_10m,0.0,bace_classification,classification,0.816667,,1.084731,-12,4,0.6502335071563721,0,2
ChemBerta_Small_10m,0.0,bace_classification,classification,0.805797,,8.41028,-12,5,0.6876158118247986,4,3
ChemBerta_Small_10m,0.0,bace_classification,classification,0.819746,,5.934366,-13,6,0.6864336133003235,3,0
ChemBerta_Small_10m,0.0,bace_regression,regression,1.015293,0.854184,4.393083,-26,0,0.4396572113037109,0,5
ChemBerta_Small_10m,0.0,bace_regression,regression,0.93128,0.754202,8.220282,-25,1,0.5328241586685181,6,2
ChemBerta_Small_10m,0.0,bace_regression,regression,0.823943,0.670118,3.808438,-31,2,0.5091295838356018,5,0
ChemBerta_Small_10m,0.0,bace_regression,regression,1.125121,0.911835,3.409222,-18,3,0.4659077823162079,1,6
ChemBerta_Small_10m,0.0,bace_regression,regression,1.006849,0.796652,1.063905,-20,4,0.4810748100280761,3,4
ChemBerta_Small_10m,0.0,bace_regression,regression,0.933637,0.714948,4.492608,-23,5,0.4872812330722809,4,3
ChemBerta_Small_10m,0.0,bace_regression,regression,0.824274,0.639366,3.119406,-25,6,0.476326048374176,2,1
ChemBerta_Small_10m,0.0,delaney,regression,0.657292,0.503695,8.108941,-25,0,0.441952496767044,4,6
ChemBerta_Small_10m,0.0,delaney,regression,0.575428,0.456099,9.286701,-32,1,0.4468919932842254,5,5
ChemBerta_Small_10m,0.0,delaney,regression,0.503956,0.401789,3.919824,-35,2,0.4687983989715576,6,0
ChemBerta_Small_10m,0.0,delaney,regression,0.505682,0.393956,1.403145,-32,3,0.4349443018436432,3,1
ChemBerta_Small_10m,0.0,delaney,regression,0.563827,0.431082,2.524562,-28,4,0.4211743772029876,2,4
ChemBerta_Small_10m,0.0,delaney,regression,0.531298,0.424044,1.318157,-37,5,0.4125806391239166,1,3
ChemBerta_Small_10m,0.0,delaney,regression,0.513669,0.42448,1.065223,-34,6,0.4108512103557586,0,2
ChemBerta_Small_10m,0.0,hiv,classification,0.641776,,3.409015,-8,0,0.0992728546261787,5,5
ChemBerta_Small_10m,0.0,hiv,classification,0.611736,,1.38264,-5,1,0.0856719836592674,3,6
ChemBerta_Small_10m,0.0,hiv,classification,0.733776,,6.871776,-20,2,0.1002753302454948,6,2
ChemBerta_Small_10m,0.0,hiv,classification,0.713222,,8.810969,-17,3,0.081548623740673,0,4
ChemBerta_Small_10m,0.0,hiv,classification,0.732428,,1.121452,-19,4,0.0863355696201324,4,3
ChemBerta_Small_10m,0.0,hiv,classification,0.757771,,6.924677,-24,5,0.0843057632446289,2,1
ChemBerta_Small_10m,0.0,hiv,classification,0.761141,,1.76576,-24,6,0.0834493860602378,1,0
ChemBerta_Small_10m,0.0,lipo,regression,0.809334,0.647159,1.348288,-26,0,0.6416181921958923,6,4
ChemBerta_Small_10m,0.0,lipo,regression,0.849378,0.691177,5.175045,-21,1,0.6313742399215698,5,6
ChemBerta_Small_10m,0.0,lipo,regression,0.848519,0.674405,1.817472,-25,2,0.6060856580734253,4,5
ChemBerta_Small_10m,0.0,lipo,regression,0.790057,0.639689,9.438403,-31,3,0.5757496356964111,3,3
ChemBerta_Small_10m,0.0,lipo,regression,0.761851,0.609912,1.051805,-36,4,0.5721940994262695,2,1
ChemBerta_Small_10m,0.0,lipo,regression,0.783445,0.619482,1.365323,-35,5,0.5692222714424133,1,2
ChemBerta_Small_10m,0.0,lipo,regression,0.755642,0.589857,1.626238,-35,6,0.5673663020133972,0,0
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.72565,,2.966072,-7,0,0.181269109249115,5,6
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.727304,,2.419815,-7,1,0.1825951486825943,6,5
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.742069,,3.679071,-8,2,0.1769172400236129,4,3
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.729559,,1.828909,-7,3,0.168494313955307,0,4
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.765374,,1.46961,-9,4,0.174324557185173,3,2
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.798451,,8.913525,-12,5,0.170811042189598,1,0
ChemBerta_Small_10m,0.0,tox21_sr_p53,classification,0.775778,,3.159189,-10,6,0.1728510558605194,2,1
ChemBerta_Small_10m,1.0,bace_classification,classification,0.658333,,0.000839,,0,0.8369631767272949,6,6
ChemBerta_Small_10m,1.0,bace_classification,classification,0.78442,,3.358749,-10,1,0.675987958908081,4,2
ChemBerta_Small_10m,1.0,bace_classification,classification,0.752717,,3.819208,-8,2,0.6664227843284607,2,5
ChemBerta_Small_10m,1.0,bace_classification,classification,0.81413,,1.768859,-12,3,0.7352485656738281,5,0
ChemBerta_Small_10m,1.0,bace_classification,classification,0.760688,,1.253343,-8,4,0.6510300040245056,0,4
ChemBerta_Small_10m,1.0,bace_classification,classification,0.786232,,2.498149,-10,5,0.6645949482917786,1,1
ChemBerta_Small_10m,1.0,bace_classification,classification,0.782609,,4.502686,-10,6,0.6704185009002686,3,3
ChemBerta_Small_10m,1.0,bace_regression,regression,0.814172,0.660653,1.115702,-26,0,0.4549955129623413,2,2
ChemBerta_Small_10m,1.0,bace_regression,regression,0.799344,0.656663,2.648277,-27,1,0.4333420693874359,0,0
ChemBerta_Small_10m,1.0,bace_regression,regression,0.813099,0.661544,2.822665,-25,2,0.4757222533226013,6,1
ChemBerta_Small_10m,1.0,bace_regression,regression,1.104113,0.933954,1.935881,-20,3,0.4443602859973907,1,6
ChemBerta_Small_10m,1.0,bace_regression,regression,0.902357,0.749146,5.635338,-23,4,0.4722597301006317,5,4
ChemBerta_Small_10m,1.0,bace_regression,regression,0.862256,0.726995,1.992897,-27,5,0.4579310119152069,4,3
ChemBerta_Small_10m,1.0,bace_regression,regression,0.952394,0.754869,2.479823,-22,6,0.4577377438545227,3,5
ChemBerta_Small_10m,1.0,delaney,regression,0.703621,0.535306,4.612275,-28,0,0.529654860496521,6,5
ChemBerta_Small_10m,1.0,delaney,regression,0.846755,0.58128,8.349846,-22,1,0.4815056920051574,5,6
ChemBerta_Small_10m,1.0,delaney,regression,0.555096,0.440876,3.295066,-34,2,0.4634479880332947,4,3
ChemBerta_Small_10m,1.0,delaney,regression,0.576079,0.443345,7.682475,-37,3,0.413453459739685,2,4
ChemBerta_Small_10m,1.0,delaney,regression,0.464255,0.373664,9.186661,-38,4,0.4178397357463836,3,1
ChemBerta_Small_10m,1.0,delaney,regression,0.496187,0.401772,2.377861,-37,5,0.4125958979129791,1,2
ChemBerta_Small_10m,1.0,delaney,regression,0.438355,0.353378,5.353077,-39,6,0.4124108850955963,0,0
ChemBerta_Small_10m,1.0,hiv,classification,0.735325,,3.900474,-20,0,0.1235419884324073,6,3
ChemBerta_Small_10m,1.0,hiv,classification,0.673242,,1.477177,-11,1,0.095084048807621,4,5
ChemBerta_Small_10m,1.0,hiv,classification,0.720734,,6.959972,-18,2,0.0967288836836814,5,4
ChemBerta_Small_10m,1.0,hiv,classification,0.620605,,2.699144,-6,3,0.0825099423527717,0,6
ChemBerta_Small_10m,1.0,hiv,classification,0.78225,,2.227525,-28,4,0.0838058814406395,2,0
ChemBerta_Small_10m,1.0,hiv,classification,0.76222,,1.135362,-24,5,0.0845713317394256,3,1
ChemBerta_Small_10m,1.0,hiv,classification,0.745883,,7.419309,-22,6,0.0834564715623855,1,2
ChemBerta_Small_10m,1.0,lipo,regression,0.79106,0.632253,1.59615,-25,0,0.6756327748298645,6,3
ChemBerta_Small_10m,1.0,lipo,regression,0.824608,0.6666,2.130341,-22,1,0.6482025384902954,5,6
ChemBerta_Small_10m,1.0,lipo,regression,0.810499,0.629233,5.227779,-26,2,0.6216717958450317,4,5
ChemBerta_Small_10m,1.0,lipo,regression,0.795751,0.62857,5.130025,-24,3,0.5904508233070374,3,4
ChemBerta_Small_10m,1.0,lipo,regression,0.755189,0.597946,7.132537,-32,4,0.5815609693527222,2,0
ChemBerta_Small_10m,1.0,lipo,regression,0.767308,0.597562,7.666598,-33,5,0.5666846036911011,1,1
ChemBerta_Small_10m,1.0,lipo,regression,0.774472,0.612311,3.11177,-33,6,0.5549909472465515,0,2
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.666261,,0.000169,,0,0.1840047985315323,5,6
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.72998,,1.735248,-7,1,0.1733162105083465,0,5
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.783987,,8.987544,-11,2,0.177174761891365,1,2
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.776109,,3.00543,-10,3,0.1910442113876342,6,3
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.753796,,7.56056,-9,4,0.1812464892864227,2,4
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.789069,,4.04693,-11,5,0.1831214874982834,4,1
ChemBerta_Small_10m,1.0,tox21_sr_p53,classification,0.802361,,4.67272,-12,6,0.18257737159729,3,0
ChemBerta_Small_10m,2.0,bace_classification,classification,0.781884,,5.05869,-10,0,0.811644971370697,6,3
ChemBerta_Small_10m,2.0,bace_classification,classification,0.762319,,9.918943,-9,1,0.6633939743041992,2,6
ChemBerta_Small_10m,2.0,bace_classification,classification,0.772645,,2.145582,-9,2,0.6404954195022583,1,5
ChemBerta_Small_10m,2.0,bace_classification,classification,0.790036,,1.328824,-10,3,0.6202403903007507,0,1
ChemBerta_Small_10m,2.0,bace_classification,classification,0.775906,,1.299189,-9,4,0.7284618616104126,5,4
ChemBerta_Small_10m,2.0,bace_classification,classification,0.787138,,2.152089,-10,5,0.6897528767585754,4,2
ChemBerta_Small_10m,2.0,bace_classification,classification,0.791667,,1.009758,-10,6,0.6876159906387329,3,0
ChemBerta_Small_10m,2.0,bace_regression,regression,0.941947,0.723095,1.60106,-23,0,0.5629728436470032,6,4
ChemBerta_Small_10m,2.0,bace_regression,regression,0.85665,0.73511,1.106239,-25,1,0.5338496565818787,5,0
ChemBerta_Small_10m,2.0,bace_regression,regression,0.912994,0.756698,1.360596,-24,2,0.5254521369934082,4,3
ChemBerta_Small_10m,2.0,bace_regression,regression,1.062909,0.86236,8.575009,-18,3,0.4425252377986908,0,5
ChemBerta_Small_10m,2.0,bace_regression,regression,1.067004,0.84037,1.190495,-18,4,0.4917981922626495,3,6
ChemBerta_Small_10m,2.0,bace_regression,regression,0.868617,0.705379,8.34905,-24,5,0.4674301147460937,1,1
ChemBerta_Small_10m,2.0,bace_regression,regression,0.910889,0.72034,1.226457,-22,6,0.4726690351963043,2,2
ChemBerta_Small_10m,2.0,delaney,regression,0.766993,0.617424,6.951739,-25,0,0.5083933472633362,6,6
ChemBerta_Small_10m,2.0,delaney,regression,0.637668,0.507135,8.198032,-29,1,0.4290764033794403,4,5
ChemBerta_Small_10m,2.0,delaney,regression,0.5747,0.43676,9.338025,-35,2,0.4271858632564544,3,4
