model_mtr_name,model_mtr_ep,dataset_name,dataset_type,metric_1,metric_2,p_value_mantissa,p_value_exponent,epoch,loss,loss_ranking,metric_1_ranking
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.718478,,2.721184,-6,0,0.7043242454528809,3,6
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.781341,,5.518637,-10,1,0.6692605018615723,1,5
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.808696,,4.929757,-12,2,0.6153742671012878,0,2
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.815399,,1.38638,-12,3,0.7017114758491516,2,1
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.816304,,1.16371,-12,4,0.7121166586875916,4,0
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.806703,,7.123833,-12,5,0.7449744939804077,6,3
ChemBerta_Medium_20m,0.0,bace_classification,classification,0.805978,,8.136168,-12,6,0.7327070832252502,5,4
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.956049,0.792791,5.187323,-25,0,0.5022934675216675,4,4
ChemBerta_Medium_20m,0.0,bace_regression,regression,1.05584,0.897669,2.251467,-25,1,0.6390990018844604,6,6
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.933286,0.752433,4.025722,-20,2,0.4325092732906341,0,1
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.981505,0.781514,1.328857,-22,3,0.566993236541748,5,5
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.847408,0.643192,5.305647,-25,4,0.433228850364685,1,0
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.947836,0.718817,3.31587,-21,5,0.469005823135376,3,3
ChemBerta_Medium_20m,0.0,bace_regression,regression,0.945256,0.716972,2.012056,-21,6,0.4669102430343628,2,2
ChemBerta_Medium_20m,0.0,delaney,regression,0.908094,0.700768,1.030368,-28,0,0.6494094729423523,6,6
ChemBerta_Medium_20m,0.0,delaney,regression,0.528987,0.430469,1.505975,-34,1,0.4610175788402557,5,5
ChemBerta_Medium_20m,0.0,delaney,regression,0.43557,0.354543,3.627286,-40,2,0.4277644753456116,4,4
ChemBerta_Medium_20m,0.0,delaney,regression,0.429845,0.354432,1.45273,-41,3,0.4051660597324371,1,3
ChemBerta_Medium_20m,0.0,delaney,regression,0.423692,0.340752,3.250591,-40,4,0.4098871946334839,2,1
ChemBerta_Medium_20m,0.0,delaney,regression,0.425491,0.345497,4.650683,-41,5,0.4113826155662536,3,2
ChemBerta_Medium_20m,0.0,delaney,regression,0.421777,0.345511,4.790345,-41,6,0.4031837880611419,0,0
ChemBerta_Medium_20m,0.0,hiv,classification,0.673149,,1.514613,-11,0,0.0984825417399406,6,6
ChemBerta_Medium_20m,0.0,hiv,classification,0.698032,,1.139586,-14,1,0.0939645320177078,5,5
ChemBerta_Medium_20m,0.0,hiv,classification,0.739468,,8.417199,-21,2,0.086970642209053,4,4
ChemBerta_Medium_20m,0.0,hiv,classification,0.767518,,1.26511,-25,3,0.0860612839460372,3,0
ChemBerta_Medium_20m,0.0,hiv,classification,0.761753,,1.374887,-24,4,0.0805636346340179,1,1
ChemBerta_Medium_20m,0.0,hiv,classification,0.744271,,1.374605,-21,5,0.0815227478742599,2,3
ChemBerta_Medium_20m,0.0,hiv,classification,0.758445,,5.276454,-24,6,0.0792067572474479,0,2
ChemBerta_Medium_20m,0.0,lipo,regression,0.821554,0.646345,1.086708,-22,0,0.6971035003662109,6,5
ChemBerta_Medium_20m,0.0,lipo,regression,0.822674,0.65845,2.212199,-27,1,0.6128259301185608,4,6
ChemBerta_Medium_20m,0.0,lipo,regression,0.740187,0.579079,9.139713,-39,2,0.6345371603965759,5,1
ChemBerta_Medium_20m,0.0,lipo,regression,0.785111,0.612209,5.035742,-36,3,0.5897773504257202,3,4
ChemBerta_Medium_20m,0.0,lipo,regression,0.741797,0.584081,9.42041,-41,4,0.549974799156189,2,2
ChemBerta_Medium_20m,0.0,lipo,regression,0.745523,0.583787,8.964962,-40,5,0.5484419465065002,0,3
ChemBerta_Medium_20m,0.0,lipo,regression,0.738578,0.578232,9.4207,-41,6,0.5492068529129028,1,0
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.675553,,7.057185,-5,0,0.1875209659337997,6,6
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.764291,,1.71838,-9,1,0.1653744876384735,1,5
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.765374,,1.46961,-9,2,0.1663971692323684,2,4
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.773192,,4.656313,-10,3,0.1785546243190765,5,3
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.794422,,1.718011,-11,4,0.162095695734024,0,2
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.801098,,5.762612,-12,5,0.1767254471778869,4,0
ChemBerta_Medium_20m,0.0,tox21_sr_p53,classification,0.799053,,8.075256,-12,6,0.1745233684778213,3,1
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.77029,,3.065536,-9,0,0.7266971468925476,2,6
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.807971,,5.63859,-12,1,0.6787124276161194,0,3
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.812138,,2.585045,-12,2,0.7585198879241943,3,0
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.806341,,7.613699,-12,3,0.7114073634147644,1,5
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.806522,,7.364817,-12,4,0.8152130246162415,6,4
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.81087,,3.283826,-12,5,0.808006763458252,4,1
ChemBerta_Medium_20m,1.0,bace_classification,classification,0.81087,,3.283826,-12,6,0.8108221292495728,5,1
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.938928,0.80424,4.48002,-24,0,0.4478794038295746,0,1
ChemBerta_Medium_20m,1.0,bace_regression,regression,1.107584,0.887348,1.766271,-15,1,0.4971596300601959,4,5
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.89993,0.710554,9.107591,-26,2,0.4995076358318329,5,0
ChemBerta_Medium_20m,1.0,bace_regression,regression,1.108522,0.887115,1.077614,-16,3,0.5113751888275146,6,6
ChemBerta_Medium_20m,1.0,bace_regression,regression,0.974528,0.741824,1.702789,-25,4,0.4835390448570251,1,2
ChemBerta_Medium_20m,1.0,bace_regression,regression,1.041043,0.786858,1.875905,-21,5,0.4930140078067779,3,4
ChemBerta_Medium_20m,1.0,bace_regression,regression,1.025406,0.777795,4.913802,-22,6,0.4912915229797363,2,3
ChemBerta_Medium_20m,1.0,delaney,regression,0.637365,0.509204,7.330669,-32,0,0.4702896177768707,5,6
ChemBerta_Medium_20m,1.0,delaney,regression,0.567437,0.448807,2.461991,-28,1,0.4934583008289337,6,4
ChemBerta_Medium_20m,1.0,delaney,regression,0.569742,0.465953,9.516072,-32,2,0.431751549243927,3,5
ChemBerta_Medium_20m,1.0,delaney,regression,0.567076,0.444485,2.733436,-34,3,0.4600884914398193,4,3
ChemBerta_Medium_20m,1.0,delaney,regression,0.480553,0.377389,2.784233,-34,4,0.4059041738510132,0,0
ChemBerta_Medium_20m,1.0,delaney,regression,0.495794,0.394223,1.520082,-34,5,0.4088364243507385,2,1
ChemBerta_Medium_20m,1.0,delaney,regression,0.509528,0.404577,1.747869,-34,6,0.4081150591373443,1,2
ChemBerta_Medium_20m,1.0,hiv,classification,0.724193,,2.099317,-18,0,0.0861416161060333,4,6
ChemBerta_Medium_20m,1.0,hiv,classification,0.737005,,2.101071,-20,1,0.1119189411401748,6,5
ChemBerta_Medium_20m,1.0,hiv,classification,0.759781,,3.071261,-24,2,0.0837154611945152,3,4
ChemBerta_Medium_20m,1.0,hiv,classification,0.768012,,1.028439,-25,3,0.0872315540909767,5,3
ChemBerta_Medium_20m,1.0,hiv,classification,0.770631,,3.410783,-26,4,0.0825773552060127,2,2
ChemBerta_Medium_20m,1.0,hiv,classification,0.782277,,2.20103,-28,5,0.0813158825039863,1,0
ChemBerta_Medium_20m,1.0,hiv,classification,0.781883,,2.619963,-28,6,0.0791869014501571,0,1
ChemBerta_Medium_20m,1.0,lipo,regression,0.827784,0.651039,2.466086,-21,0,0.7293993234634399,6,6
